user_id,listening_time,songs_played_per_day,skip_rate,ads_listened_per_week,offline_listening,engagement_score,high_skip_user,subscription_type,device_type,is_churned
46,255,3,0.39,0,1,258,0,Premium,Web,0
47,255,75,0.58,0,1,330,1,Student,Desktop,0
48,26,23,0.08,0,1,49,0,Family,Mobile,0
49,238,60,0.29,0,1,298,0,Family,Desktop,0
50,241,7,0.56,22,0,248,1,Free,Desktop,1
51,124,98,0.36,0,1,222,0,Premium,Desktop,0
52,175,67,0.38,0,1,242,0,Premium,Web,0
53,41,3,0.0,43,0,44,0,Free,Desktop,1
54,222,96,0.26,15,0,318,0,Free,Web,0
55,121,71,0.32,0,1,192,0,Family,Desktop,0
56,277,2,0.59,0,1,279,1,Family,Web,0
57,107,82,0.11,12,0,189,0,Free,Desktop,1
58,198,63,0.23,0,1,261,0,Student,Desktop,0
59,59,51,0.42,19,0,110,0,Free,Desktop,0
60,95,79,0.53,0,1,174,1,Student,Web,1
61,262,23,0.17,0,1,285,0,Premium,Web,0
62,169,26,0.56,0,1,195,1,Student,Mobile,0
63,25,32,0.2,38,0,57,0,Free,Mobile,0
64,55,67,0.51,0,1,122,1,Family,Mobile,1
65,161,42,0.4,0,1,203,0,Student,Desktop,1
66,77,42,0.56,0,1,119,1,Family,Web,0
67,152,32,0.49,14,0,184,0,Free,Mobile,1
68,156,51,0.14,18,0,207,0,Free,Desktop,0
69,99,43,0.17,0,1,142,0,Student,Desktop,0
70,181,40,0.21,10,0,221,0,Free,Mobile,0
71,265,81,0.36,0,1,346,0,Student,Web,0
72,131,70,0.35,0,1,201,0,Family,Web,0
73,19,68,0.32,0,1,87,0,Student,Desktop,1
74,201,15,0.05,0,1,216,0,Family,Mobile,0
75,223,53,0.33,0,1,276,0,Family,Web,0
76,111,83,0.19,0,1,194,0,Premium,Desktop,0
77,81,6,0.47,0,1,87,0,Family,Mobile,0
78,124,73,0.43,0,1,197,0,Family,Mobile,0
79,13,30,0.24,32,0,43,0,Free,Mobile,0
80,31,72,0.53,0,1,103,1,Premium,Desktop,1
81,277,87,0.3,0,1,364,0,Premium,Web,0
82,181,69,0.59,0,1,250,1,Student,Web,0
83,167,4,0.56,35,0,171,1,Free,Mobile,0
84,105,11,0.03,29,0,116,0,Free,Web,0
85,202,79,0.45,0,1,281,0,Student,Desktop,0
86,284,38,0.23,0,1,322,0,Family,Web,0
87,125,82,0.43,0,1,207,0,Premium,Web,0
88,237,36,0.37,20,0,273,0,Free,Web,0
89,99,15,0.15,0,1,114,0,Family,Mobile,0
90,224,49,0.38,0,1,273,0,Student,Desktop,0
91,195,80,0.17,28,0,275,0,Free,Web,0
92,173,85,0.22,0,1,258,0,Premium,Web,0
93,210,7,0.25,0,1,217,0,Family,Web,0
94,85,7,0.45,44,0,92,0,Free,Desktop,0
95,93,1,0.4,0,1,94,0,Family,Mobile,0
96,222,97,0.03,0,1,319,0,Student,Desktop,1
97,196,69,0.07,0,1,265,0,Premium,Web,0
98,215,13,0.02,0,1,228,0,Family,Mobile,1
99,22,45,0.29,0,1,67,0,Family,Web,1
100,283,13,0.02,0,1,296,0,Student,Desktop,0
101,40,15,0.5,16,0,55,0,Free,Web,0
102,251,91,0.12,0,1,342,0,Student,Desktop,0
103,240,61,0.56,0,1,301,1,Family,Mobile,0
104,160,76,0.06,0,1,236,0,Family,Web,0
105,114,11,0.24,19,0,125,0,Free,Web,0
106,251,9,0.39,0,1,260,0,Student,Web,0
107,181,89,0.11,0,1,270,0,Student,Desktop,1
108,215,16,0.26,0,1,231,0,Premium,Web,0
109,119,11,0.05,0,1,130,0,Student,Desktop,0
110,224,34,0.11,0,1,258,0,Premium,Mobile,0
111,31,61,0.29,0,1,92,0,Premium,Mobile,0
112,17,10,0.27,0,1,27,0,Family,Desktop,0
113,174,29,0.13,0,1,203,0,Student,Desktop,1
114,31,48,0.33,0,1,79,0,Family,Web,0
115,84,40,0.58,0,1,124,1,Student,Desktop,0
116,198,31,0.07,6,0,229,0,Free,Web,0
117,272,40,0.12,0,1,312,0,Student,Desktop,1
118,21,73,0.16,0,1,94,0,Family,Web,0
119,251,47,0.14,0,1,298,0,Family,Mobile,0
120,95,81,0.36,0,1,176,0,Family,Mobile,0
121,169,20,0.18,0,1,189,0,Student,Desktop,1
122,35,20,0.32,0,1,55,0,Premium,Desktop,1
123,32,34,0.52,14,0,66,1,Free,Web,1
124,55,67,0.53,7,0,122,1,Free,Desktop,0
125,120,26,0.48,0,1,146,0,Family,Desktop,0
126,11,67,0.4,36,0,78,0,Free,Desktop,1
127,194,52,0.2,0,1,246,0,Premium,Mobile,0
128,81,85,0.29,0,1,166,0,Premium,Web,0
129,217,52,0.45,23,0,269,0,Free,Web,0
130,11,11,0.42,0,1,22,0,Premium,Web,1
131,72,35,0.53,22,0,107,1,Free,Desktop,0
132,162,94,0.29,0,1,256,0,Premium,Desktop,0
133,271,57,0.36,0,1,328,0,Family,Mobile,1
134,218,6,0.02,0,1,224,0,Premium,Desktop,1
135,94,24,0.3,0,1,118,0,Family,Web,0
136,295,72,0.43,0,1,367,0,Student,Desktop,0
137,286,35,0.42,0,1,321,0,Premium,Desktop,0
138,298,37,0.5,0,1,335,0,Student,Mobile,0
139,261,20,0.39,0,1,281,0,Family,Desktop,1
140,201,82,0.5,27,0,283,0,Free,Desktop,1
141,40,84,0.56,49,0,124,1,Free,Web,0
142,30,78,0.42,0,1,108,0,Premium,Mobile,0
143,109,88,0.45,0,1,197,0,Student,Web,1
144,171,19,0.48,0,1,190,0,Premium,Mobile,1
145,223,31,0.09,0,1,254,0,Family,Mobile,0
146,52,17,0.2,0,1,69,0,Family,Desktop,0
147,195,94,0.49,0,1,289,0,Family,Desktop,0
148,198,78,0.0,0,1,276,0,Premium,Desktop,0
149,285,2,0.3,0,1,287,0,Student,Desktop,0
150,278,83,0.24,0,1,361,0,Premium,Desktop,0
151,251,57,0.37,0,1,308,0,Premium,Desktop,0
152,158,52,0.27,0,1,210,0,Student,Mobile,0
153,14,41,0.59,0,1,55,1,Family,Web,0
154,280,81,0.27,0,1,361,0,Premium,Desktop,1
155,257,14,0.13,0,1,271,0,Student,Web,0
156,21,76,0.56,0,1,97,1,Family,Web,1
157,237,27,0.16,40,0,264,0,Free,Web,0
158,224,53,0.07,43,0,277,0,Free,Mobile,0
159,216,76,0.28,0,1,292,0,Family,Mobile,0
160,137,97,0.32,0,1,234,0,Premium,Web,0
161,209,84,0.53,28,0,293,1,Free,Web,0
162,36,30,0.19,43,0,66,0,Free,Mobile,1
163,95,50,0.49,31,0,145,0,Free,Desktop,1
164,298,25,0.11,0,1,323,0,Premium,Mobile,1
165,224,51,0.23,0,1,275,0,Family,Desktop,1
166,205,43,0.48,47,0,248,0,Free,Desktop,0
167,95,31,0.37,0,1,126,0,Student,Web,0
168,289,17,0.28,35,0,306,0,Free,Desktop,0
169,168,28,0.54,0,1,196,1,Premium,Web,0
170,211,48,0.48,23,0,259,0,Free,Mobile,1
171,63,99,0.38,0,1,162,0,Premium,Mobile,0
172,124,83,0.52,35,0,207,1,Free,Mobile,0
173,275,56,0.05,0,1,331,0,Family,Web,0
174,120,38,0.11,0,1,158,0,Student,Mobile,0
175,64,20,0.16,20,0,84,0,Free,Mobile,1
176,121,86,0.08,0,1,207,0,Premium,Web,1
177,184,12,0.2,15,0,196,0,Free,Desktop,0
178,219,54,0.06,0,1,273,0,Family,Web,0
179,184,40,0.01,9,0,224,0,Free,Mobile,0
180,30,37,0.25,0,1,67,0,Family,Desktop,1
181,55,46,0.41,7,0,101,0,Free,Desktop,0
182,38,4,0.09,0,1,42,0,Premium,Mobile,0
183,281,58,0.16,0,1,339,0,Premium,Desktop,0
184,140,57,0.35,0,1,197,0,Premium,Mobile,1
185,130,17,0.35,0,1,147,0,Student,Desktop,0
186,238,82,0.35,0,1,320,0,Student,Web,1
187,295,53,0.55,0,1,348,1,Premium,Web,1
188,265,31,0.41,38,0,296,0,Free,Web,0
189,179,80,0.6,0,1,259,1,Student,Desktop,0
190,198,4,0.1,36,0,202,0,Free,Desktop,0
191,180,17,0.08,0,1,197,0,Premium,Web,0
192,267,89,0.52,0,1,356,1,Student,Web,0
193,126,22,0.58,45,0,148,1,Free,Mobile,0
194,233,94,0.29,0,1,327,0,Family,Web,1
195,161,95,0.59,0,1,256,1,Student,Desktop,1
196,100,70,0.43,0,1,170,0,Student,Mobile,0
197,240,45,0.53,0,1,285,1,Student,Web,1
198,170,95,0.45,0,1,265,0,Student,Mobile,0
199,150,29,0.18,0,1,179,0,Family,Desktop,0
200,203,79,0.15,0,1,282,0,Family,Web,0
201,226,31,0.24,32,0,257,0,Free,Desktop,0
202,31,93,0.03,0,1,124,0,Premium,Desktop,0
203,81,34,0.09,0,1,115,0,Premium,Mobile,0
204,62,99,0.55,5,0,161,1,Free,Mobile,0
205,202,22,0.45,36,0,224,0,Free,Mobile,0
206,207,33,0.09,9,0,240,0,Free,Web,1
207,20,38,0.6,0,1,58,1,Student,Web,0
208,113,42,0.56,32,0,155,1,Free,Desktop,1
209,168,42,0.12,49,0,210,0,Free,Desktop,0
210,251,79,0.37,0,1,330,0,Student,Web,0
211,222,95,0.04,29,0,317,0,Free,Desktop,0
212,74,33,0.12,13,0,107,0,Free,Mobile,0
213,139,71,0.16,0,1,210,0,Premium,Desktop,0
214,160,23,0.06,45,0,183,0,Free,Web,0
215,37,94,0.37,0,1,131,0,Premium,Web,0
216,199,4,0.12,0,1,203,0,Family,Desktop,0
217,204,87,0.42,14,0,291,0,Free,Desktop,0
218,181,67,0.56,0,1,248,1,Family,Desktop,1
219,269,4,0.31,0,1,273,0,Premium,Web,0
220,245,9,0.07,42,0,254,0,Free,Mobile,0
221,50,54,0.59,0,1,104,1,Student,Web,0
222,272,46,0.12,0,1,318,0,Student,Web,0
223,271,26,0.5,0,1,297,0,Family,Web,0
224,252,68,0.04,0,1,320,0,Student,Web,1
225,155,2,0.36,0,1,157,0,Student,Desktop,1
226,66,80,0.02,48,0,146,0,Free,Mobile,1
227,51,26,0.19,0,1,77,0,Student,Web,0
228,174,6,0.54,7,0,180,1,Free,Mobile,0
229,165,20,0.01,0,1,185,0,Student,Desktop,1
230,73,39,0.11,0,1,112,0,Premium,Mobile,0
231,10,11,0.09,0,1,21,0,Student,Web,0
232,279,26,0.03,0,1,305,0,Premium,Web,0
233,222,4,0.06,26,0,226,0,Free,Mobile,1
234,39,6,0.54,0,1,45,1,Premium,Web,0
235,40,97,0.08,0,1,137,0,Premium,Mobile,1
236,254,86,0.45,0,1,340,0,Premium,Desktop,1
237,227,23,0.55,0,1,250,1,Family,Mobile,1
238,244,5,0.34,0,1,249,0,Premium,Web,0
239,113,85,0.23,27,0,198,0,Free,Mobile,1
240,218,6,0.01,15,0,224,0,Free,Mobile,1
241,144,94,0.33,19,0,238,0,Free,Desktop,0
242,143,48,0.09,0,1,191,0,Premium,Web,0
243,110,61,0.44,0,1,171,0,Premium,Mobile,0
244,283,90,0.53,0,1,373,1,Family,Web,0
245,276,15,0.28,0,1,291,0,Premium,Mobile,0
246,178,70,0.29,0,1,248,0,Premium,Desktop,0
247,114,13,0.49,0,1,127,0,Premium,Desktop,0
248,98,24,0.32,8,0,122,0,Free,Mobile,0
249,49,27,0.29,0,1,76,0,Family,Mobile,0
250,28,39,0.27,0,1,67,0,Premium,Web,0
251,259,67,0.17,0,1,326,0,Premium,Mobile,0
252,279,84,0.43,24,0,363,0,Free,Desktop,0
253,139,58,0.09,0,1,197,0,Premium,Web,1
254,53,97,0.45,29,0,150,0,Free,Desktop,0
255,255,82,0.19,0,1,337,0,Family,Mobile,0
256,259,20,0.01,0,1,279,0,Premium,Mobile,0
257,112,33,0.34,30,0,145,0,Free,Mobile,0
258,260,75,0.36,0,1,335,0,Premium,Web,0
259,91,3,0.49,0,1,94,0,Premium,Desktop,0
260,92,18,0.19,25,0,110,0,Free,Mobile,0
261,140,14,0.02,31,0,154,0,Free,Mobile,0
262,259,28,0.19,0,1,287,0,Premium,Desktop,1
263,119,73,0.22,0,1,192,0,Student,Desktop,0
264,99,92,0.54,0,1,191,1,Student,Web,1
265,265,49,0.2,41,0,314,0,Free,Desktop,1
266,299,93,0.27,0,1,392,0,Premium,Mobile,1
267,255,75,0.56,38,0,330,1,Free,Web,0
268,157,96,0.48,0,1,253,0,Family,Web,1
269,176,15,0.11,0,1,191,0,Family,Mobile,0
270,146,45,0.44,0,1,191,0,Student,Mobile,0
271,211,64,0.15,0,1,275,0,Family,Mobile,0
272,191,42,0.52,0,1,233,1,Premium,Mobile,1
273,218,72,0.29,0,1,290,0,Premium,Mobile,0
274,128,94,0.48,0,1,222,0,Family,Web,0
275,30,10,0.38,37,0,40,0,Free,Web,0
276,176,17,0.35,0,1,193,0,Family,Mobile,0
277,50,45,0.08,0,1,95,0,Premium,Mobile,0
278,267,72,0.12,38,0,339,0,Free,Desktop,0
279,20,84,0.45,0,1,104,0,Student,Web,0
280,134,92,0.31,0,1,226,0,Family,Mobile,0
281,282,57,0.31,0,1,339,0,Student,Mobile,0
282,52,55,0.05,0,1,107,0,Premium,Web,1
283,97,37,0.59,0,1,134,1,Premium,Web,0
284,58,63,0.45,45,0,121,0,Free,Mobile,0
285,126,71,0.29,0,1,197,0,Premium,Desktop,1
286,172,48,0.54,0,1,220,1,Premium,Web,0
287,258,36,0.2,24,0,294,0,Free,Desktop,1
288,291,31,0.29,39,0,322,0,Free,Desktop,0
289,27,96,0.04,27,0,123,0,Free,Desktop,1
290,262,32,0.47,0,1,294,0,Family,Desktop,0
291,52,52,0.47,0,1,104,0,Premium,Desktop,1
292,108,26,0.17,0,1,134,0,Student,Web,0
293,235,5,0.28,0,1,240,0,Premium,Desktop,0
294,213,36,0.28,0,1,249,0,Student,Web,0
295,169,6,0.13,0,1,175,0,Premium,Web,1
296,158,84,0.1,0,1,242,0,Student,Mobile,1
297,293,30,0.16,0,1,323,0,Premium,Desktop,0
298,99,84,0.58,0,1,183,1,Premium,Web,1
299,194,40,0.59,0,1,234,1,Student,Desktop,0
300,126,86,0.52,0,1,212,1,Premium,Mobile,0
301,102,18,0.08,0,1,120,0,Family,Mobile,0
302,210,32,0.15,29,0,242,0,Free,Web,1
303,134,71,0.43,14,0,205,0,Free,Mobile,0
304,62,25,0.53,0,1,87,1,Premium,Web,0
305,183,29,0.53,0,1,212,1,Premium,Web,0
306,279,97,0.36,0,1,376,0,Premium,Mobile,0
307,159,48,0.21,0,1,207,0,Premium,Mobile,1
308,187,22,0.14,0,1,209,0,Premium,Desktop,1
309,57,3,0.41,0,1,60,0,Family,Mobile,0
310,133,88,0.07,0,1,221,0,Family,Desktop,0
311,168,78,0.41,0,1,246,0,Student,Desktop,0
312,251,47,0.55,0,1,298,1,Family,Mobile,0
313,71,18,0.0,0,1,89,0,Family,Web,0
314,178,84,0.32,0,1,262,0,Student,Desktop,0
315,206,64,0.1,0,1,270,0,Student,Mobile,1
316,36,12,0.22,44,0,48,0,Free,Mobile,0
317,122,69,0.09,0,1,191,0,Family,Web,0
318,158,51,0.26,0,1,209,0,Premium,Web,0
319,223,79,0.05,0,1,302,0,Student,Mobile,0
320,251,65,0.44,0,1,316,0,Student,Desktop,0
321,294,5,0.44,0,1,299,0,Family,Web,0
322,12,2,0.34,0,1,14,0,Student,Web,1
323,218,58,0.36,0,1,276,0,Family,Desktop,0
324,49,26,0.54,12,0,75,1,Free,Desktop,0
325,66,13,0.58,0,1,79,1,Student,Mobile,1
326,295,20,0.09,21,0,315,0,Free,Mobile,1
327,131,98,0.24,0,1,229,0,Student,Desktop,0
328,203,10,0.1,42,0,213,0,Free,Desktop,0
329,201,38,0.44,0,1,239,0,Premium,Web,0
330,59,35,0.37,0,1,94,0,Student,Desktop,0
331,119,39,0.45,0,1,158,0,Family,Web,0
332,219,96,0.51,0,1,315,1,Premium,Web,1
333,152,83,0.58,0,1,235,1,Family,Mobile,0
334,157,9,0.57,0,1,166,1,Premium,Web,0
335,89,59,0.15,21,0,148,0,Free,Mobile,0
336,63,68,0.21,0,1,131,0,Family,Mobile,0
337,93,36,0.39,0,1,129,0,Premium,Desktop,0
338,97,78,0.02,0,1,175,0,Student,Web,0
339,289,79,0.09,0,1,368,0,Premium,Desktop,0
340,291,39,0.3,0,1,330,0,Family,Mobile,1
341,291,70,0.22,0,1,361,0,Family,Desktop,0
342,218,76,0.58,0,1,294,1,Student,Web,1
343,56,55,0.18,0,1,111,0,Premium,Web,0
344,157,12,0.48,0,1,169,0,Student,Web,1
345,171,65,0.52,0,1,236,1,Student,Web,1
346,16,64,0.05,0,1,80,0,Family,Web,0
347,207,21,0.18,0,1,228,0,Family,Web,1
348,123,37,0.27,0,1,160,0,Premium,Web,0
349,55,48,0.47,0,1,103,0,Premium,Web,1
350,49,43,0.25,5,0,92,0,Free,Desktop,0
351,62,57,0.58,7,0,119,1,Free,Web,0
352,85,32,0.0,0,1,117,0,Student,Desktop,0
353,78,33,0.04,0,1,111,0,Family,Desktop,0
354,107,7,0.42,27,0,114,0,Free,Desktop,1
355,202,29,0.14,41,0,231,0,Free,Web,0
356,211,25,0.51,0,1,236,1,Family,Mobile,0
357,73,27,0.19,26,0,100,0,Free,Web,1
358,229,70,0.02,0,1,299,0,Premium,Desktop,0
359,164,21,0.53,8,0,185,1,Free,Desktop,0
360,61,33,0.48,0,1,94,0,Family,Desktop,1
361,164,66,0.3,34,0,230,0,Free,Desktop,0
362,232,2,0.14,27,0,234,0,Free,Mobile,0
363,146,98,0.06,0,1,244,0,Student,Mobile,1
364,42,27,0.22,0,1,69,0,Premium,Web,1
365,265,89,0.56,28,0,354,1,Free,Desktop,0
366,275,47,0.59,0,1,322,1,Family,Mobile,1
367,295,1,0.03,0,1,296,0,Student,Desktop,1
368,269,13,0.54,40,0,282,1,Free,Desktop,0
369,224,18,0.09,0,1,242,0,Family,Desktop,0
370,51,60,0.22,17,0,111,0,Free,Desktop,0
371,100,49,0.37,0,1,149,0,Family,Desktop,1
372,267,63,0.6,0,1,330,1,Premium,Web,0
373,102,35,0.06,40,0,137,0,Free,Mobile,0
374,84,64,0.57,23,0,148,1,Free,Web,1
375,289,92,0.2,27,0,381,0,Free,Mobile,1
376,173,30,0.38,0,1,203,0,Family,Desktop,0
377,42,77,0.34,0,1,119,0,Family,Web,0
378,261,76,0.41,0,1,337,0,Family,Desktop,0
379,163,2,0.03,38,0,165,0,Free,Web,1
380,175,9,0.37,0,1,184,0,Student,Web,0
381,259,96,0.48,0,1,355,0,Student,Mobile,1
382,103,58,0.06,0,1,161,0,Premium,Mobile,0
383,148,52,0.43,0,1,200,0,Family,Desktop,0
384,50,19,0.02,0,1,69,0,Premium,Mobile,0
385,187,27,0.11,0,1,214,0,Family,Desktop,1
386,57,48,0.52,0,1,105,1,Student,Web,0
387,51,70,0.38,19,0,121,0,Free,Web,0
388,146,4,0.59,16,0,150,1,Free,Mobile,0
389,210,60,0.05,42,0,270,0,Free,Desktop,1
390,58,55,0.25,0,1,113,0,Family,Web,0
391,124,11,0.16,0,1,135,0,Family,Mobile,0
392,273,80,0.26,0,1,353,0,Student,Mobile,1
393,49,74,0.47,19,0,123,0,Free,Mobile,0
394,119,73,0.11,0,1,192,0,Student,Web,0
395,225,10,0.08,0,1,235,0,Student,Web,0
396,203,75,0.26,27,0,278,0,Free,Desktop,0
397,21,11,0.28,0,1,32,0,Family,Web,0
398,120,66,0.25,0,1,186,0,Student,Mobile,1
399,59,34,0.11,0,1,93,0,Student,Web,0
400,272,5,0.24,0,1,277,0,Family,Desktop,0
401,228,24,0.12,0,1,252,0,Premium,Mobile,0
402,131,23,0.32,0,1,154,0,Student,Desktop,0
403,103,39,0.08,0,1,142,0,Student,Web,1
404,152,87,0.57,23,0,239,1,Free,Desktop,0
405,261,18,0.28,0,1,279,0,Family,Desktop,1
406,276,46,0.2,0,1,322,0,Family,Mobile,1
407,58,22,0.37,0,1,80,0,Family,Desktop,0
408,118,98,0.53,0,1,216,1,Premium,Web,0
409,256,83,0.17,29,0,339,0,Free,Mobile,0
410,84,22,0.25,5,0,106,0,Free,Mobile,0
411,51,8,0.29,0,1,59,0,Premium,Desktop,0
412,107,23,0.52,17,0,130,1,Free,Web,1
413,289,61,0.31,18,0,350,0,Free,Desktop,0
414,264,89,0.35,0,1,353,0,Premium,Web,0
415,227,97,0.03,0,1,324,0,Premium,Web,0
416,97,86,0.15,26,0,183,0,Free,Desktop,0
417,168,40,0.56,0,1,208,1,Premium,Mobile,1
418,23,66,0.49,0,1,89,0,Premium,Desktop,0
419,271,98,0.5,0,1,369,0,Premium,Desktop,1
420,104,59,0.01,0,1,163,0,Premium,Web,1
421,251,59,0.11,28,0,310,0,Free,Desktop,0
422,105,75,0.25,0,1,180,0,Student,Desktop,0
423,281,77,0.38,0,1,358,0,Student,Web,0
424,93,50,0.18,39,0,143,0,Free,Mobile,0
425,146,74,0.33,0,1,220,0,Family,Web,0
426,170,73,0.48,0,1,243,0,Premium,Desktop,0
427,40,91,0.57,0,1,131,1,Premium,Mobile,0
428,171,31,0.4,0,1,202,0,Student,Desktop,0
429,36,67,0.21,0,1,103,0,Family,Mobile,0
430,274,57,0.05,38,0,331,0,Free,Web,0
431,79,71,0.11,0,1,150,0,Family,Desktop,0
432,91,81,0.52,0,1,172,1,Family,Mobile,0
433,69,20,0.13,0,1,89,0,Premium,Mobile,1
434,14,93,0.07,0,1,107,0,Family,Desktop,1
435,55,7,0.54,0,1,62,1,Premium,Web,0
436,88,34,0.3,48,0,122,0,Free,Web,0
437,236,78,0.35,0,1,314,0,Premium,Mobile,0
438,214,85,0.58,17,0,299,1,Free,Desktop,0
439,172,5,0.05,27,0,177,0,Free,Desktop,0
440,163,11,0.3,0,1,174,0,Family,Mobile,0
441,123,9,0.27,0,1,132,0,Premium,Desktop,0
442,251,28,0.49,46,0,279,0,Free,Web,0
443,191,92,0.49,29,0,283,0,Free,Web,0
444,35,14,0.44,0,1,49,0,Family,Web,0
445,250,86,0.0,0,1,336,0,Student,Mobile,1
446,247,67,0.32,0,1,314,0,Student,Desktop,1
447,18,51,0.38,0,1,69,0,Premium,Web,1
448,296,35,0.22,0,1,331,0,Student,Web,0
449,25,62,0.47,14,0,87,0,Free,Mobile,0
450,166,86,0.03,0,1,252,0,Premium,Desktop,0
451,98,17,0.17,0,1,115,0,Student,Desktop,1
452,288,86,0.16,0,1,374,0,Student,Mobile,1
453,10,54,0.5,0,1,64,0,Premium,Web,0
454,188,15,0.27,0,1,203,0,Premium,Desktop,0
455,65,55,0.56,33,0,120,1,Free,Desktop,0
456,210,82,0.51,0,1,292,1,Family,Web,0
457,128,28,0.33,0,1,156,0,Student,Mobile,1
458,72,32,0.32,0,1,104,0,Family,Desktop,1
459,150,40,0.06,0,1,190,0,Student,Desktop,0
460,57,35,0.48,0,1,92,0,Student,Web,0
461,199,12,0.4,0,1,211,0,Student,Web,1
462,211,96,0.57,0,1,307,1,Student,Desktop,0
463,115,68,0.49,0,1,183,0,Family,Desktop,0
464,260,30,0.51,37,0,290,1,Free,Web,0
465,110,17,0.58,24,0,127,1,Free,Desktop,0
466,224,11,0.11,12,0,235,0,Free,Mobile,0
467,63,96,0.32,0,1,159,0,Family,Mobile,0
468,40,62,0.01,0,1,102,0,Family,Mobile,0
469,163,45,0.47,0,1,208,0,Student,Web,1
470,211,48,0.47,27,0,259,0,Free,Desktop,0
471,72,82,0.44,0,1,154,0,Premium,Web,0
472,16,82,0.09,0,1,98,0,Premium,Web,0
473,205,11,0.47,0,1,216,0,Premium,Mobile,0
474,290,17,0.43,0,1,307,0,Premium,Mobile,0
475,86,30,0.55,0,1,116,1,Student,Web,0
476,34,1,0.45,30,0,35,0,Free,Desktop,1
477,192,95,0.3,0,1,287,0,Premium,Desktop,0
478,65,7,0.04,0,1,72,0,Premium,Desktop,0
479,225,60,0.19,17,0,285,0,Free,Mobile,1
480,266,2,0.46,16,0,268,0,Free,Desktop,1
481,196,36,0.42,0,1,232,0,Premium,Web,0
482,294,73,0.28,15,0,367,0,Free,Mobile,0
483,38,82,0.31,0,1,120,0,Family,Desktop,1
484,123,23,0.31,0,1,146,0,Student,Desktop,0
485,102,95,0.14,0,1,197,0,Premium,Web,0
486,43,30,0.32,0,1,73,0,Premium,Desktop,0
487,112,81,0.07,0,1,193,0,Student,Mobile,1
488,150,27,0.1,0,1,177,0,Student,Desktop,0
489,28,41,0.17,0,1,69,0,Premium,Web,0
490,256,12,0.51,0,1,268,1,Student,Mobile,1
491,205,38,0.38,0,1,243,0,Premium,Web,0
492,174,85,0.5,0,1,259,0,Student,Web,0
493,181,89,0.29,0,1,270,0,Student,Mobile,1
494,299,71,0.58,0,1,370,1,Student,Desktop,1
495,292,27,0.17,0,1,319,0,Student,Mobile,0
496,141,15,0.45,0,1,156,0,Premium,Web,0
497,184,14,0.59,0,1,198,1,Family,Mobile,0
498,118,13,0.42,0,1,131,0,Student,Desktop,0
499,164,70,0.15,0,1,234,0,Premium,Mobile,0
500,283,69,0.01,35,0,352,0,Free,Desktop,0
501,47,24,0.59,0,1,71,1,Student,Mobile,0
502,101,88,0.45,0,1,189,0,Student,Web,1
